"sex","age","placesize","region","edu","socprof","unempdur","income","marital","mmarr","ymarr","msepdiv","ysepdiv","ls","depress","trust","trustfam","trustneigh","sport","nofriend","smoke","nociga","alcabuse","alcsol","workab","wkabdur","wkabint","wkabintdur","emcc","englang","height","weight","eduspec","random"
"FEMALE",38,"URBAN 100,000-200,000","Lubuskie","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR",12,960,"MARRIED",10,2007,NA,NA,"MIXED",9,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,"YES",20,"NO","NO","NO",NA,"NO",NA,NA,"NONE",180,80,"technical science","JX"
"MALE",20,"URBAN BELOW 20,000","Pomorskie","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR",4,1380,"SINGLE",NA,NA,NA,NA,"MOSTLY SATISFIED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",4,"YES",20,"NO","NO","NO",NA,"NO",NA,NA,"ACTIVE",194,79,"technical science","SH"
"MALE",41,"RURAL AREAS","Swietokrzyskie","SECONDARY","FARMER",0,NA,"MARRIED",10,1998,NA,NA,"PLEASED",10,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",6,"YES",20,"NO","NO","NO",NA,"NO",NA,NA,"PASSIVE",182,64,"technical science","BS"
"MALE",25,"RURAL AREAS","Swietokrzyskie","POST-SECONDARY OR HIGHER","PUPIL OR STUDENT",NA,NA,"SINGLE",NA,NA,NA,NA,"PLEASED",0,"MOST PEOPLE CAN BE TRUSTED","YES","NO OPINION","NO",0,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"ACTIVE",186,86,"technical science","YU"
"MALE",27,"RURAL AREAS","Swietokrzyskie","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR",NA,1000,"SINGLE",NA,NA,NA,NA,"MOSTLY SATISFIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",0,"YES",20,"NO","NO","NO",NA,"NO",NA,NA,"NONE",174,70,"technical science","NV"
"MALE",31,"URBAN 100,000-200,000","Lodzkie","SECONDARY","SELF-EMPLOYED",0,1500,"MARRIED",8,2008,NA,NA,"PLEASED",0,NA,"YES","NO","YES",3,"YES",10,"NO","NO","NO",NA,"NO",NA,NA,"NONE",170,90,"technical science","YK"
"FEMALE",45,"RURAL AREAS","Slaskie","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR",0,1500,"MARRIED",6,1988,NA,NA,"MOSTLY SATISFIED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",164,85,"technical science","ZR"
"FEMALE",51,"URBAN 500,000 AND OVER","Wielkopolskie","SECONDARY","EMPLOYED IN PUBLIC SECTOR",NA,1950,"WIDOWED",11,1984,7,1998,"MOSTLY SATISFIED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",3,"YES",20,"NO","NO","NO",NA,"NO",NA,NA,"PASSIVE",166,55,"technical science","AR"
"MALE",60,"URBAN 20,000-100,000","Kujawsko-pomorskie","SECONDARY","RETIRED",3,2572,"MARRIED",8,1974,NA,NA,"PLEASED",NA,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",5,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",176,82,"technical science","QH"
"MALE",51,"RURAL AREAS","Podkarpackie","VOCATIONAL/GRAMMAR","EMPLOYED IN PUBLIC SECTOR",NA,NA,"MARRIED",2,1985,NA,NA,"MOSTLY SATISFIED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",10,"YES",20,"NO","NO","NO",NA,"NO",NA,NA,"NONE",170,90,"technical science","JX"
"MALE",76,"URBAN 20,000-100,000","Slaskie","POST-SECONDARY OR HIGHER","RETIRED",24,1700,"MARRIED",6,1958,NA,NA,"MOSTLY SATISFIED",13,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",10,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",160,75,"technical science","RT"
"MALE",49,"RURAL AREAS","Dolnoslaskie","VOCATIONAL/GRAMMAR","UNEMPLOYED",6,1000,"MARRIED",4,1982,NA,NA,"PLEASED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",10,"YES",15,"NO","NO","NO",NA,"NO",NA,NA,"NONE",163,54,"technical science","JQ"
"MALE",36,"URBAN 20,000-100,000","Pomorskie","SECONDARY","EMPLOYED IN PRIVATE SECTOR",2,NA,"MARRIED",3,2008,NA,NA,"MOSTLY SATISFIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,"YES",15,"YES","NO","NO",NA,"NO",NA,NA,"PASSIVE",175,82,"technical science","TZ"
"MALE",52,"RURAL AREAS","Zachodnio-pomorskie","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR",0,2000,"MARRIED",4,1983,NA,NA,"DELIGHTED",9,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",8,"NO",NA,"YES","NO","NO",NA,"NO",NA,NA,"NONE",185,98,"technical science","RY"
"MALE",75,"URBAN 100,000-200,000","Swietokrzyskie","SECONDARY","RETIRED",24,860,"MARRIED",10,1961,NA,NA,"MIXED",15,"IT`S DIFFICULT TO TELL","YES","YES","YES",0,"YES",20,"YES","YES","NO",NA,"NO",NA,NA,"NONE",176,78,"technical science","LW"
"FEMALE",60,"URBAN 500,000 AND OVER","Dolnoslaskie","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR",0,7000,"WIDOWED",6,1977,9,1988,"DELIGHTED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",10,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"ACTIVE",170,90,"technical science","YD"
"MALE",38,"URBAN BELOW 20,000","Zachodnio-pomorskie","SECONDARY","EMPLOYED IN PUBLIC SECTOR",0,6500,"MARRIED",9,2004,NA,NA,"PLEASED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",5,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",175,76,"technical science","BS"
"FEMALE",57,"URBAN 100,000-200,000","Slaskie","VOCATIONAL/GRAMMAR","RETIRED",24,1200,"WIDOWED",10,1973,10,2000,"MOSTLY SATISFIED",10,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",10,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",165,80,"technical science","YD"
"FEMALE",51,"RURAL AREAS","Podkarpackie","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR",0,1500,"WIDOWED",10,1979,4,2001,"MOSTLY SATISFIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",10,"YES",13,"NO","NO","NO",NA,"NO",NA,NA,"NONE",162,76,"technical science","CY"
"MALE",35,"URBAN 200,000-500,000","Mazowieckie","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE",0,1700,"MARRIED",7,2000,NA,NA,"PLEASED",3,"ONE CAN`T BE TOO CAREFUL","NO","NO","NO",10,"YES",20,"NO","NO","NO",NA,"NO",NA,NA,"NONE",186,80,"technical science","ED"
"MALE",64,"URBAN 100,000-200,000","Slaskie","VOCATIONAL/GRAMMAR","RETIRED",24,2200,"MARRIED",6,1970,NA,NA,"PLEASED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",5,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",165,95,"technical science","EG"
"MALE",47,"URBAN BELOW 20,000","Lubelskie","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE",9,NA,"MARRIED",9,1987,NA,NA,"MIXED",8,"IT`S DIFFICULT TO TELL","YES","NO","YES",10,"YES",20,"NO","NO","NO",NA,"NO",NA,NA,"NONE",175,83,"technical science","ZR"
"MALE",22,"RURAL AREAS","Slaskie","SECONDARY","UNEMPLOYED",24,NA,"SINGLE",NA,NA,NA,NA,"MIXED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",10,"YES",20,"NO","NO","NO",NA,"NO",NA,NA,"PASSIVE",180,65,"technical science","KT"
"MALE",49,"URBAN 20,000-100,000","Lubelskie","VOCATIONAL/GRAMMAR","EMPLOYED IN PUBLIC SECTOR",NA,4400,"MARRIED",5,1985,NA,NA,"MIXED",3,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",4,"YES",20,"NO","NO","NO",NA,"NO",NA,NA,"NONE",176,89,"technical science","FB"
"MALE",44,"RURAL AREAS","Lubuskie","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR",NA,2380,"MARRIED",1,1993,NA,NA,"PLEASED",6,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","NO",15,"YES",25,"NO","NO","NO",NA,"YES, TO EU COUNTRY","IT DEPENDS","BELGIUM","NONE",164,83,"technical science","KW"
"MALE",63,"URBAN 100,000-200,000","Pomorskie","SECONDARY","RETIRED",0,2650,"MARRIED",4,1973,NA,NA,"PLEASED",2,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","NO",3,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"PASSIVE",164,72,"technical science","RY"
"MALE",41,"URBAN BELOW 20,000","Zachodnio-pomorskie","SECONDARY","EMPLOYED IN PUBLIC SECTOR",0,3300,"MARRIED",7,1992,NA,NA,"PLEASED",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES","NO",5,"NO",NA,"NO",NA,"NO",NA,"NO",NA,NA,"NONE",170,78,"technical science","RT"
"FEMALE",27,"URBAN BELOW 20,000","Slaskie","POST-SECONDARY OR HIGHER","EMPLOYED IN PRIVATE SECTOR",0,NA,"MARRIED",6,2007,NA,NA,"PLEASED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",8,"YES",5,"NO","NO","NO",NA,"NO",NA,NA,"ACTIVE",160,55,"technical science","KT"
"MALE",39,"RURAL AREAS","Mazowieckie","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR",NA,1370,"MARRIED",8,1994,NA,NA,"MIXED",4,"MOST PEOPLE CAN BE TRUSTED","NO","NO","NO",10,"YES",20,"NO","NO","NO",NA,"YES, TO EU COUNTRY","IT DEPENDS","GERMANY","NONE",176,85,"technical science","AR"
"FEMALE",65,"URBAN 100,000-200,000","Mazowieckie","SECONDARY","RETIRED",0,2000,"WIDOWED",12,1969,1,1993,"PLEASED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",5,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",164,80,"technical science","FM"
"MALE",45,"URBAN 100,000-200,000","Swietokrzyskie","SECONDARY","EMPLOYED IN PUBLIC SECTOR",0,NA,"MARRIED",8,1989,NA,NA,"PLEASED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",6,"NO",NA,"NO","NO","NO",NA,"YES, TO EU COUNTRY","IT DEPENDS","GERMANY","ACTIVE",171,75,"technical science","LL"
"MALE",64,"URBAN BELOW 20,000","Dolnoslaskie","VOCATIONAL/GRAMMAR","RETIRED",24,1650,"MARRIED",7,1972,NA,NA,"MOSTLY SATISFIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,"YES",20,"NO","NO","NO",NA,"NO",NA,NA,"NONE",172,71,"technical science","HU"
"MALE",73,"URBAN BELOW 20,000","Mazowieckie","SECONDARY","RETIRED",0,1300,"MARRIED",9,1962,NA,NA,"MIXED",9,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",4,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",178,94,"technical science","ZR"
"MALE",65,"URBAN 100,000-200,000","Wielkopolskie","VOCATIONAL/GRAMMAR","RETIRED",NA,2200,"MARRIED",9,1973,NA,NA,"MOSTLY SATISFIED",5,"ONE CAN`T BE TOO CAREFUL","NO OPINION","YES","NO",10,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",167,85,"technical science","LV"
"MALE",72,"RURAL AREAS","Podkarpackie","SECONDARY","RETIRED",NA,1500,"MARRIED",5,1966,NA,NA,"PLEASED",5,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",10,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",170,70,"technical science","FB"
"MALE",75,"URBAN 100,000-200,000","Warminsko-mazurskie","SECONDARY","RETIRED",0,1509,"WIDOWED",9,1996,7,2008,"PLEASED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",20,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,NA,161,66,"technical science","CY"
"MALE",63,"URBAN 100,000-200,000","Dolnoslaskie","SECONDARY","LONG-TERM SICK/DISABLED",24,1000,"MARRIED",10,1991,NA,NA,"MOSTLY SATISFIED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",6,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",182,112,"technical science","YK"
"MALE",51,"RURAL AREAS","Zachodnio-pomorskie","VOCATIONAL/GRAMMAR","FARMER",0,1100,"MARRIED",4,1986,NA,NA,"PLEASED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",6,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",117,84,"technical science","RY"
"MALE",50,"RURAL AREAS","Wielkopolskie","SECONDARY","FARMER",0,2000,"MARRIED",8,1983,NA,NA,"PLEASED",3,"MOST PEOPLE CAN BE TRUSTED","YES","YES","NO",30,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",169,98,"technical science","EG"
"MALE",71,"URBAN 200,000-500,000","Slaskie","POST-SECONDARY OR HIGHER","RETIRED",0,3000,"MARRIED",4,1966,NA,NA,"DELIGHTED",1,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",10,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"ACTIVE",170,74,"technical science","FB"
"MALE",55,"URBAN 100,000-200,000","Lodzkie","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR",0,1500,"MARRIED",3,1980,NA,NA,"MOSTLY DISSATISFIED",6,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","YES",0,"NO",NA,"YES","NO","NO",NA,"NO",NA,NA,"NONE",171,90,"technical science","WZ"
"MALE",37,"RURAL AREAS","Wielkopolskie","SECONDARY","OTHER ECONOMICALLY INACTIVE",24,1500,"SINGLE",NA,NA,NA,NA,"MIXED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",10,"YES",15,"NO","NO","NO",NA,"NO",NA,NA,"NONE",176,76,"technical science","KT"
"MALE",56,"RURAL AREAS","Kujawsko-pomorskie","VOCATIONAL/GRAMMAR","SELF-EMPLOYED",0,NA,"MARRIED",10,1983,NA,NA,"MOSTLY SATISFIED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",10,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",176,76,"technical science","DB"
"FEMALE",52,"URBAN 200,000-500,000","Dolnoslaskie","VOCATIONAL/GRAMMAR","EMPLOYED IN PUBLIC SECTOR",0,1500,"MARRIED",6,1979,NA,NA,"MIXED",5,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",30,"YES",20,"NO","NO","NO",NA,"NO",NA,NA,"NONE",164,80,"technical science","EG"
"MALE",36,"RURAL AREAS","Slaskie","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR",0,3300,"MARRIED",8,1999,NA,NA,"MOSTLY SATISFIED",2,"IT`S DIFFICULT TO TELL","YES","NO","YES",12,"NO",NA,"YES","YES","NO",NA,"NO",NA,NA,"PASSIVE",186,93,"technical science","ZR"
"FEMALE",40,"URBAN BELOW 20,000","Mazowieckie","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR",0,1500,"MARRIED",8,1994,NA,NA,"PLEASED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO","NO",2,"YES",20,"NO","NO","NO",NA,"NO",NA,NA,"NONE",185,90,"technical science","KW"
"MALE",31,"RURAL AREAS","Wielkopolskie","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR",8,4500,"SINGLE",NA,NA,NA,NA,"MOSTLY SATISFIED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",4,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",176,80,"technical science","YD"
"MALE",60,"RURAL AREAS","Lubuskie","VOCATIONAL/GRAMMAR","RETIRED",24,900,"MARRIED",9,1977,NA,NA,"MOSTLY SATISFIED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",6,"NO",NA,"NO","NO","NO",NA,"YES, TO EU COUNTRY","LESS THAN 1 YEAR","ITALY","NONE",164,65,"technical science","NV"
"MALE",42,"URBAN 100,000-200,000","Mazowieckie","SECONDARY","SELF-EMPLOYED",0,3000,"MARRIED",6,1993,NA,NA,"PLEASED",3,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",4,"YES",20,"NO","NO","NO",NA,"NO",NA,NA,"NONE",188,105,"technical science","UT"
"MALE",63,"URBAN 500,000 AND OVER","Mazowieckie","VOCATIONAL/GRAMMAR","RETIRED",0,NA,"MARRIED",9,1973,NA,NA,"MOSTLY SATISFIED",5,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",6,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",168,92,"technical science","TZ"
"MALE",21,"URBAN BELOW 20,000","Mazowieckie","VOCATIONAL/GRAMMAR","UNEMPLOYED",NA,NA,"SINGLE",NA,NA,NA,NA,"PLEASED",0,"IT`S DIFFICULT TO TELL","YES","NO OPINION","YES",8,"NO",NA,"NO","NO",NA,NA,"NO",NA,NA,"NONE",186,76,"technical science","UU"
"FEMALE",51,"URBAN BELOW 20,000","Dolnoslaskie","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR",0,1000,"DIVORCED",12,1982,6,2010,"MOSTLY DISSATISFIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,"YES",20,"NO","NO","NO",NA,"NO",NA,NA,"NONE",160,80,"technical science","NX"
"MALE",79,"URBAN 20,000-100,000","Pomorskie","SECONDARY","RETIRED",0,1800,"WIDOWED",7,1962,6,1982,"MIXED",16,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",0,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",163,70,"technical science","ED"
"MALE",54,"URBAN 500,000 AND OVER","Lodzkie","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT",0,1750,"DIVORCED",12,1980,3,2010,"MOSTLY DISSATISFIED",1,"IT`S DIFFICULT TO TELL","NO","YES","YES",10,"NO",NA,"YES","YES","NO",NA,"NO",NA,NA,"PASSIVE",173,103,"technical science","JX"
"MALE",23,"RURAL AREAS","Slaskie","SECONDARY","EMPLOYED IN PRIVATE SECTOR",0,1300,"SINGLE",NA,NA,NA,NA,"MIXED",0,"MOST PEOPLE CAN BE TRUSTED","YES","NO","NO",1,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",175,58,"technical science","ZR"
"FEMALE",39,"RURAL AREAS","Dolnoslaskie","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR",0,1300,"MARRIED",6,1990,NA,NA,"PLEASED",4,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",10,"NO",NA,"NO","NO","NO",NA,"YES, TO EU COUNTRY","IT DEPENDS","GERMANY","NONE",172,96,"technical science","ZB"
"MALE",76,"RURAL AREAS","Slaskie","SECONDARY","RETIRED",24,2400,"MARRIED",5,1991,NA,NA,"MOSTLY SATISFIED",9,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",5,"YES",30,"NO","NO","NO",NA,"NO",NA,NA,"NONE",170,82,"technical science","ED"
"MALE",26,"RURAL AREAS","Podkarpackie","SECONDARY","UNEMPLOYED",1,NA,"SINGLE",NA,NA,NA,NA,"PLEASED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",15,"NO",NA,"YES","NO","NO",NA,"NO",NA,NA,"NONE",176,90,"technical science","KW"
"MALE",37,"URBAN 100,000-200,000","Wielkopolskie","VOCATIONAL/GRAMMAR","EMPLOYED IN PUBLIC SECTOR",0,1200,"MARRIED",4,1998,NA,NA,"MOSTLY SATISFIED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",5,"YES",12,"NO","NO","NO",NA,"NO",NA,NA,"PASSIVE",170,62,"technical science","UT"
"MALE",37,"URBAN 100,000-200,000","Dolnoslaskie","SECONDARY","EMPLOYED IN PRIVATE SECTOR",0,3500,"MARRIED",10,1995,NA,NA,"PLEASED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",3,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"PASSIVE",178,81,"technical science","YK"
"MALE",58,"URBAN 200,000-500,000","Slaskie","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR",0,NA,"MARRIED",6,1980,NA,NA,"PLEASED",2,"MOST PEOPLE CAN BE TRUSTED","YES","NO","NO",9,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"PASSIVE",170,78,"technical science","SL"
"MALE",47,"RURAL AREAS","Malopolskie","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR",0,1400,"MARRIED",8,1992,NA,NA,"PLEASED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO","NO",12,"YES",20,"NO","NO","NO",NA,"NO",NA,NA,"NONE",164,84,"technical science","BT"
"MALE",61,"RURAL AREAS","Lubelskie","SECONDARY","RETIRED",0,1030,"MARRIED",6,1973,NA,NA,"MOSTLY DISSATISFIED",13,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",25,"NO",NA,"YES","NO","NO",NA,"NO",NA,NA,"NONE",178,78,"technical science","ZB"
"MALE",52,"RURAL AREAS","Mazowieckie","VOCATIONAL/GRAMMAR","EMPLOYED IN PUBLIC SECTOR",NA,1250,"MARRIED",11,1987,NA,NA,"PLEASED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",30,"NO",NA,"NO","NO","NO",NA,"YES, TO EU COUNTRY","IT DEPENDS",NA,"NONE",176,84,"technical science","ED"
"FEMALE",61,"URBAN BELOW 20,000","Pomorskie","VOCATIONAL/GRAMMAR","RETIRED",0,1500,"MARRIED",12,1973,NA,NA,"PLEASED",5,"MOST PEOPLE CAN BE TRUSTED","YES","NO","YES",1,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",168,68,"technical science","RY"
"MALE",50,"RURAL AREAS","Lodzkie","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR",0,4500,"MARRIED",9,1985,NA,NA,"PLEASED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",4,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",170,90,"technical science","TZ"
"MALE",72,"URBAN 500,000 AND OVER","Mazowieckie","POST-SECONDARY OR HIGHER","RETIRED",0,2300,"MARRIED",9,1966,NA,NA,"PLEASED",4,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",2,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"ACTIVE",184,105,"technical science","KW"
"MALE",42,"URBAN 100,000-200,000","Malopolskie","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR",0,2100,"MARRIED",8,1991,NA,NA,"MOSTLY SATISFIED",0,"MOST PEOPLE CAN BE TRUSTED","NO","NO","YES",6,"NO",NA,"NO","NO","NO",NA,"YES, TO EU COUNTRY","MORE THAN 2 YEARS",NA,"NONE",170,90,"technical science","EG"
"MALE",39,"RURAL AREAS","Wielkopolskie","POST-SECONDARY OR HIGHER","EMPLOYED IN PRIVATE SECTOR",NA,5100,"MARRIED",4,2002,NA,NA,"MOSTLY SATISFIED",3,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","NO",10,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",182,109,"technical science","FM"
"MALE",70,"URBAN 200,000-500,000","Dolnoslaskie","SECONDARY","RETIRED",0,1600,"MARRIED",9,1961,NA,NA,"MOSTLY SATISFIED",5,"IT`S DIFFICULT TO TELL","YES","YES","YES",1,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",160,76,"technical science","YK"
"MALE",35,"RURAL AREAS","Lodzkie","VOCATIONAL/GRAMMAR","SELF-EMPLOYED",0,3000,"MARRIED",9,2003,NA,NA,"PLEASED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",10,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",197,107,"technical science","SH"
"MALE",48,"URBAN 100,000-200,000","Lodzkie","VOCATIONAL/GRAMMAR","LONG-TERM SICK/DISABLED",24,1200,"DIVORCED",12,1983,5,1991,"MOSTLY DISSATISFIED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",10,"YES",20,"NO","NO","NO",NA,"NO",NA,NA,"NONE",183,100,"technical science","JP"
"MALE",64,"RURAL AREAS","Slaskie","SECONDARY","RETIRED",24,1000,"MARRIED",8,1985,NA,NA,"PLEASED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",4,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",176,76,"technical science","CY"
"MALE",41,"RURAL AREAS","Dolnoslaskie","VOCATIONAL/GRAMMAR","UNEMPLOYED",24,NA,"MARRIED",8,2008,NA,NA,"MIXED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",3,"YES",3,"NO","NO","NO",NA,"NO",NA,NA,"NONE",170,80,"technical science","OO"
"MALE",58,"RURAL AREAS","Slaskie","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR",0,NA,"DIVORCED",10,1978,1,1995,"MOSTLY SATISFIED",13,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","YES",1,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",188,98,"technical science","FM"
"FEMALE",53,"RURAL AREAS","Slaskie","SECONDARY","EMPLOYED IN PUBLIC SECTOR",0,NA,"MARRIED",4,1979,NA,NA,"MOSTLY SATISFIED",7,"IT`S DIFFICULT TO TELL","YES","YES","NO",15,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,NA,168,80,"technical science","YD"
"MALE",36,"URBAN 500,000 AND OVER","Wielkopolskie","SECONDARY","EMPLOYED IN PRIVATE SECTOR",6,2500,"MARRIED",12,2006,NA,NA,"MOSTLY SATISFIED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",2,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"ACTIVE",173,85,"technical science","EG"
"MALE",23,"URBAN BELOW 20,000","Podlaskie","POST-SECONDARY OR HIGHER","PUPIL OR STUDENT",NA,NA,"SINGLE",NA,NA,NA,NA,"MIXED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",6,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"ACTIVE",176,65,"technical science","EG"
"MALE",45,"RURAL AREAS","Wielkopolskie","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR",0,3500,"MARRIED",4,1986,NA,NA,"PLEASED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",3,"YES",15,"NO","NO","NO",NA,"NO",NA,NA,"NONE",172,90,"technical science","HZ"
