"term","estimate","std.error","statistic","p.value","dep_var","data","privacy","parents","copies"
"income",-0.00920264908766591,0.0140944375720763,-0.652927727027437,0.513897540107761,"age","sds",0.1,1,5
"wealth",0.0185637058425819,0.0136500429683761,1.35997416898903,0.177455351955222,"age","sds",0.1,1,5
"(Intercept)",7.79849471274775,0.901964308236166,8.64612340148811,0.00000652748175915251,"income","sds",0.1,1,5
"age",-0.0426594204438226,0.0776756896801192,-0.549199120336116,0.582910216613427,"income","sds",0.1,1,5
"wealth",0.222395533273052,0.0634217326747964,3.5066139617064,0.012508858474903,"income","sds",0.1,1,5
"(Intercept)",12.9567320686092,0.893754997321322,14.4969618155332,0.000000149340169512644,"wealth","sds",0.1,1,5
"age",0.138302184821464,0.0984919265621376,1.40419818810439,0.166181386085185,"wealth","sds",0.1,1,5
"income",0.306806054523041,0.0866975855048923,3.53880736973613,0.0137332147228382,"wealth","sds",0.1,1,5
"(Intercept)",4.12532321606581,0.287827793192198,14.3326089892615,0.0000000000000000000047805501912194,"age","sds",0.1,1,10
"income",-0.00932234648426974,0.0150604759852535,-0.618994146891357,0.536622823589378,"age","sds",0.1,1,10
"wealth",-0.00710354822751187,0.01451416273858,-0.489421839582244,0.627033178972275,"age","sds",0.1,1,10
"(Intercept)",10.5193359374821,0.840055109313197,12.5221974378352,0.00000000000278298392933725,"income","sds",0.1,1,10
"age",-0.0552642062273126,0.0845047479100656,-0.653977529003787,0.513675570252308,"income","sds",0.1,1,10
"wealth",0.0680849005433601,0.0429153847692704,1.58649167214533,0.126795464275872,"income","sds",0.1,1,10
"(Intercept)",15.5259183562841,0.85202276814831,18.2224219078398,0.0000000000000000000124283434098437,"wealth","sds",0.1,1,10
"age",-0.0499031922473116,0.12416914848958,-0.401896870956632,0.689263779980142,"wealth","sds",0.1,1,10
"income",0.101694068379394,0.063888857366847,1.59173402954245,0.123770133770627,"wealth","sds",0.1,1,10
"(Intercept)",3.74073824470832,0.32009521386152,11.6863298253708,0.000000000000000000000000000000312398300166682,"age","sds",0.1,2,5
"income",0.00723906206581782,0.0183346390752663,0.394829810180634,0.693823845259161,"age","sds",0.1,2,5
"wealth",0.00541111139419811,0.0153871636455379,0.351663992068301,0.725201708536038,"age","sds",0.1,2,5
"(Intercept)",11.1391000595798,0.625593369610339,17.8056555594858,0.0000000000000000000000000000332907913857691,"income","sds",0.1,2,5
"age",0.0330037417343951,0.0697605326418015,0.47310048367691,0.637366590605577,"income","sds",0.1,2,5
"wealth",0.0293025514892477,0.0317482529861158,0.92296579285992,0.35789829338884,"income","sds",0.1,2,5
"(Intercept)",16.8064662514442,0.514876262117648,32.6417578124896,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000993398602384476,"wealth","sds",0.1,2,5
"age",0.0227112485526378,0.0709871066778487,0.319934839092755,0.749130638632182,"wealth","sds",0.1,2,5
"income",0.0333990640211891,0.0382628348246598,0.872885246852224,0.384078956645343,"wealth","sds",0.1,2,5
"(Intercept)",3.82638156510998,0.304875256804893,12.5506464683643,0.00000000000000000000000000000000000682731417860754,"age","sds",0.1,2,10
"income",0.004210845259094,0.0155675122453855,0.270489285167716,0.786793665545299,"age","sds",0.1,2,10
"wealth",0.00170089412296051,0.0148978415603953,0.114170506919755,0.909105664042225,"age","sds",0.1,2,10
"(Intercept)",10.5111505896087,0.611710196524645,17.183219520169,0.00000000000000000000000000000000000000000000000000000000000110844028152919,"income","sds",0.1,2,10
"age",0.021005902079554,0.0676559492851184,0.310481225989899,0.756209905235494,"income","sds",0.1,2,10
"wealth",0.0680314100115421,0.0322940527781901,2.10662348509839,0.0354667949610097,"income","sds",0.1,2,10
"(Intercept)",16.4000119667771,0.500708276728514,32.7536266704639,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000213654437544413,"wealth","sds",0.1,2,10
"age",0.00804410086297869,0.070076765897204,0.114789841682743,0.908614780141266,"wealth","sds",0.1,2,10
"income",0.0743541314128795,0.0353963530367171,2.10061560115391,0.036106651813718,"wealth","sds",0.1,2,10
"(Intercept)",3.86076163830856,0.22570989523188,17.1049728871756,0.0000000000000120888119125548,"age","sds",1,0,5
"income",-0.000912287308459164,0.0123778595627171,-0.0737031555283624,0.941310521768364,"age","sds",1,0,5
"wealth",0.00516689942384368,0.0123054668012971,0.419886503070248,0.677457996928158,"age","sds",1,0,5
"(Intercept)",8.01155266670959,1.45058840659754,5.52296752839852,0.00216504601583972,"income","sds",1,0,5
"age",0.00281255133383507,0.0964923886265722,0.0291479086989929,0.976782739144042,"income","sds",1,0,5
"wealth",0.162891503815177,0.098227289017618,1.6583121192112,0.162315360978335,"income","sds",1,0,5
"(Intercept)",12.1595934587956,1.47068975008686,8.26795281470985,0.000227404510812363,"wealth","sds",1,0,5
"age",0.106750888079041,0.14553693314331,0.733496891637285,0.471390875544726,"wealth","sds",1,0,5
"income",0.268936142647352,0.152645341096732,1.76183655993095,0.144199420876726,"wealth","sds",1,0,5
"(Intercept)",3.96177081353752,0.181253573013905,21.8576149846911,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000425704280020519,"age","sds",1,0,10
"income",0.000608219042945804,0.0118078302768541,0.0515098056700601,0.958923372021489,"age","sds",1,0,10
"wealth",-0.00361389255871245,0.00921141972701948,-0.392327422461487,0.69484224052338,"age","sds",1,0,10
"(Intercept)",9.43259762172625,0.938937709411448,10.0460313045035,0.00000000507735500846173,"income","sds",1,0,10
"age",0.00416669596725168,0.0922950678154219,0.0451453806349059,0.963994777514423,"income","sds",1,0,10
"wealth",0.0771747597983419,0.0554715773804398,1.39124869785215,0.185942351089615,"income","sds",1,0,10
"(Intercept)",14.3941441322153,1.11529531484971,12.9061280367299,0.0000000000944645475029447,"wealth","sds",1,0,10
"age",-0.0475369338583753,0.117567547116416,-0.404337208900887,0.685999539159249,"wealth","sds",1,0,10
"income",0.12673046316284,0.093164148843647,1.36029218037,0.196039392277174,"wealth","sds",1,0,10
"(Intercept)",3.86076163830856,0.22570989523188,17.1049728871756,0.0000000000000120888119125548,"age","sds",1,1,5
"income",-0.000912287308459164,0.0123778595627171,-0.0737031555283624,0.941310521768364,"age","sds",1,1,5
"wealth",0.00516689942384368,0.0123054668012971,0.419886503070248,0.677457996928158,"age","sds",1,1,5
"(Intercept)",8.01155266670959,1.45058840659754,5.52296752839852,0.00216504601583972,"income","sds",1,1,5
"age",0.00281255133383507,0.0964923886265722,0.0291479086989929,0.976782739144042,"income","sds",1,1,5
"wealth",0.162891503815177,0.098227289017618,1.6583121192112,0.162315360978335,"income","sds",1,1,5
"(Intercept)",12.1595934587956,1.47068975008686,8.26795281470985,0.000227404510812363,"wealth","sds",1,1,5
"age",0.106750888079041,0.14553693314331,0.733496891637285,0.471390875544726,"wealth","sds",1,1,5
"income",0.268936142647352,0.152645341096732,1.76183655993095,0.144199420876726,"wealth","sds",1,1,5
"(Intercept)",3.96177081353752,0.181253573013905,21.8576149846911,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000425704280020519,"age","sds",1,1,10
"income",0.000608219042945804,0.0118078302768541,0.0515098056700601,0.958923372021489,"age","sds",1,1,10
"wealth",-0.00361389255871245,0.00921141972701948,-0.392327422461487,0.69484224052338,"age","sds",1,1,10
"(Intercept)",9.43259762172625,0.938937709411448,10.0460313045035,0.00000000507735500846173,"income","sds",1,1,10
"age",0.00416669596725168,0.0922950678154219,0.0451453806349059,0.963994777514423,"income","sds",1,1,10
"wealth",0.0771747597983419,0.0554715773804398,1.39124869785215,0.185942351089615,"income","sds",1,1,10
"(Intercept)",14.3941441322153,1.11529531484971,12.9061280367299,0.0000000000944645475029447,"wealth","sds",1,1,10
"age",-0.0475369338583753,0.117567547116416,-0.404337208900887,0.685999539159249,"wealth","sds",1,1,10
"income",0.12673046316284,0.093164148843647,1.36029218037,0.196039392277174,"wealth","sds",1,1,10
"(Intercept)",3.8132774496128,0.226423763613905,16.8413305597868,0.00000000000000000000000000000000000000105596728522287,"age","sds",1,2,5
"income",0.00876188657465081,0.0142743721056783,0.613819403738631,0.539469520445294,"age","sds",1,2,5
"wealth",-0.0000406083129218263,0.0133807681409301,-0.00303482673745841,0.997585826204044,"age","sds",1,2,5
"(Intercept)",6.323869355177,0.561596847668341,11.2605143377009,0.000000000000000000000113047838822173,"income","sds",1,2,5
"age",0.0464856213823491,0.0753865198221033,0.616630420027952,0.537613731458716,"income","sds",1,2,5
"wealth",0.297817343379437,0.0277083795100604,10.748277187098,0.0000000000000000000125460324048642,"income","sds",1,2,5
"(Intercept)",12.3150829811296,0.555798137629052,22.1574743551028,0.00000000000000000000000000000000000000000000000000000000000106405265286679,"wealth","sds",1,2,5
"age",-0.00287981560330018,0.0958325196863091,-0.0300505049092599,0.976090076853769,"wealth","sds",1,2,5
"income",0.408202756901209,0.0403079501150125,10.1271028602662,0.0000000000000113052308838234,"wealth","sds",1,2,5
"(Intercept)",3.77345611755205,0.215386375624154,17.5194745100158,0.00000000000000000000000000000000000000000000000000000000000000000013905328278423,"age","sds",1,2,10
"income",-0.000897905101317832,0.0143144789198385,-0.0627270546379038,0.949985652647471,"age","sds",1,2,10
"wealth",0.00840883044778602,0.0121852086869834,0.690085058351817,0.490159435474279,"age","sds",1,2,10
"(Intercept)",6.48721297780684,0.52514180695408,12.3532594280274,0.000000000000000000000000000000000371513722255717,"income","sds",1,2,10
"age",-0.00408560530603102,0.0729386011566316,-0.0560143084901972,0.955331974307714,"income","sds",1,2,10
"wealth",0.300549694617531,0.0261085087205933,11.5115611478977,0.0000000000000000000000000000058273410969287,"income","sds",1,2,10
"(Intercept)",12.004916677463,0.540593074957989,22.2069375905267,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000160406373453777,"wealth","sds",1,2,10
"age",0.0578149227240591,0.0851941730657296,0.678625317243861,0.49739218194768,"wealth","sds",1,2,10
"income",0.413437789825958,0.0370039803718583,11.1727923772325,0.000000000000000000000000012227214082707,"wealth","sds",1,2,10
"(Intercept)",3.91048364270298,0.266489114823584,14.674083950077,0.000000000000000000000000748071977290502,"age","sds",5,0,5
"income",0.000474718275182981,0.0135047911512995,0.0351518412883639,0.971988445696283,"age","sds",5,0,5
"wealth",0.000900413813397181,0.0155653778586957,0.057847218459535,0.953965162782237,"age","sds",5,0,5
"(Intercept)",9.47483385843147,1.15082998475536,8.23304396300171,0.0000494572894463092,"income","sds",5,0,5
"age",0.00230270217229849,0.0856639942062973,0.0268806304636355,0.978575875827308,"income","sds",5,0,5
"wealth",0.0465469137282276,0.0703188422661534,0.661940842996957,0.52865791315358,"income","sds",5,0,5
"(Intercept)",13.7579853879776,0.828119624288828,16.6135241630008,0.000000722474243233976,"wealth","sds",5,0,5
"age",0.00615085803452444,0.0789644781065597,0.077893987043441,0.937998954248689,"wealth","sds",5,0,5
"income",0.0663674956447847,0.0817891654345135,0.811446055137016,0.452724074682046,"wealth","sds",5,0,5
"(Intercept)",4.03026198075395,0.203575985462115,19.7973349931491,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000865926615722853,"age","sds",5,0,10
"income",-0.000443747886955703,0.0129642604127461,-0.0342285539497048,0.972695292852183,"age","sds",5,0,10
"wealth",-0.00699887795443845,0.0123281799452006,-0.567713805731977,0.570267147016326,"age","sds",5,0,10
"(Intercept)",7.93150714113476,0.932225512528204,8.50814211212096,0.0000000410197831739735,"income","sds",5,0,10
"age",-0.00262902868916723,0.080039222373286,-0.0328467545187533,0.973797110904446,"income","sds",5,0,10
"wealth",0.151214266569627,0.0608261736116391,2.48600655920089,0.024848878121672,"income","sds",5,0,10
"(Intercept)",12.8408000798257,0.876613600913452,14.648187144764,0.0000000000104594956957793,"wealth","sds",5,0,10
"age",-0.0572835814771193,0.0894153264351346,-0.640646114720333,0.521825531193364,"wealth","sds",5,0,10
"income",0.203321168840284,0.0800423615454883,2.54016954165872,0.0242248197817546,"wealth","sds",5,0,10
"(Intercept)",3.91048364270298,0.266489114823584,14.674083950077,0.000000000000000000000000748071977290502,"age","sds",5,1,5
"income",0.000474718275182981,0.0135047911512995,0.0351518412883639,0.971988445696283,"age","sds",5,1,5
"wealth",0.000900413813397181,0.0155653778586957,0.057847218459535,0.953965162782237,"age","sds",5,1,5
"(Intercept)",9.47483385843147,1.15082998475536,8.23304396300171,0.0000494572894463092,"income","sds",5,1,5
"age",0.00230270217229849,0.0856639942062973,0.0268806304636355,0.978575875827308,"income","sds",5,1,5
"wealth",0.0465469137282276,0.0703188422661534,0.661940842996957,0.52865791315358,"income","sds",5,1,5
"(Intercept)",13.7579853879776,0.828119624288828,16.6135241630008,0.000000722474243233976,"wealth","sds",5,1,5
"age",0.00615085803452444,0.0789644781065597,0.077893987043441,0.937998954248689,"wealth","sds",5,1,5
"income",0.0663674956447847,0.0817891654345135,0.811446055137016,0.452724074682046,"wealth","sds",5,1,5
"(Intercept)",4.03026198075395,0.203575985462115,19.7973349931491,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000865926615722853,"age","sds",5,1,10
"income",-0.000443747886955703,0.0129642604127461,-0.0342285539497048,0.972695292852183,"age","sds",5,1,10
"wealth",-0.00699887795443845,0.0123281799452006,-0.567713805731977,0.570267147016326,"age","sds",5,1,10
"(Intercept)",7.93150714113476,0.932225512528204,8.50814211212096,0.0000000410197831739735,"income","sds",5,1,10
"age",-0.00262902868916723,0.080039222373286,-0.0328467545187533,0.973797110904446,"income","sds",5,1,10
"wealth",0.151214266569627,0.0608261736116391,2.48600655920089,0.024848878121672,"income","sds",5,1,10
"(Intercept)",12.8408000798257,0.876613600913452,14.648187144764,0.0000000000104594956957793,"wealth","sds",5,1,10
"age",-0.0572835814771193,0.0894153264351346,-0.640646114720333,0.521825531193364,"wealth","sds",5,1,10
"income",0.203321168840284,0.0800423615454883,2.54016954165872,0.0242248197817546,"wealth","sds",5,1,10
"(Intercept)",3.97316353238631,0.158603642056362,25.0508971980251,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000664855310339703,"age","sds",5,2,5
"income",-0.00610188437431653,0.0139970545311478,-0.435940601698589,0.662890566741634,"age","sds",5,2,5
"wealth",0.000490599496515017,0.0111122529533093,0.0441494176362242,0.964799012988051,"age","sds",5,2,5
"(Intercept)",4.24644123589561,0.444867684179374,9.5454027948306,0.00000000000000000000235161642982819,"income","sds",5,2,5
"age",-0.0316043442737038,0.073460875676496,-0.430220086306645,0.667045045026681,"income","sds",5,2,5
"wealth",0.429131017276236,0.0212118934589472,20.2306794585199,0.0000000000000000000000000000000000000000000000000000000000000000000119702537756659,"income","sds",5,2,5
"(Intercept)",8.15730955336226,0.578296752105553,14.1057502461528,0.000000000000000000000000000000177894403556087,"wealth","sds",5,2,5
"age",0.00336001973957205,0.0983883782268302,0.0341505755062419,0.972767850218929,"wealth","sds",5,2,5
"income",0.723327846260591,0.0359454913787417,20.1229088410339,0.000000000000000000000000000000000000000000000000000000000000000139147192594908,"wealth","sds",5,2,5
"(Intercept)",3.91489641479274,0.158280600645936,24.733899156411,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000461983386123992,"age","sds",5,2,10
"income",-0.00323446831186135,0.0138478377537106,-0.233572083193613,0.815319577557513,"age","sds",5,2,10
"wealth",0.00253032523473059,0.0106867515097754,0.236772159661059,0.812834760818726,"age","sds",5,2,10
"(Intercept)",4.27513726333204,0.452274807902554,9.45252131808577,0.00000000000000000000541707354917743,"income","sds",5,2,10
"age",-0.017233697078427,0.0745967900146822,-0.231024646972545,0.817297997755062,"income","sds",5,2,10
"wealth",0.424420195419168,0.0216133020019057,19.6369900065129,0.000000000000000000000000000000000000000000000000000000000000000000000000615734332753633,"income","sds",5,2,10
"(Intercept)",8.25169126589888,0.550202394662803,14.9975560738081,0.000000000000000000000000000000000000000000000000341206206459862,"wealth","sds",5,2,10
"age",0.0243992003076764,0.0960681226077216,0.253978111004693,0.799514137284941,"wealth","sds",5,2,10
"income",0.707798189985284,0.0366482765866632,19.313273526288,0.000000000000000000000000000000000000000000000000000000000000000219329872631355,"wealth","sds",5,2,10
"(Intercept)",3.9240014060106,0.251681248445922,15.5911552022269,0.00000000000000000000000000000000000000000000000000680404127985459,"age","sds",10,0,5
"income",-0.0107682361195156,0.0135280654232997,-0.795992315425181,0.426228657365349,"age","sds",10,0,5
"wealth",0.00747725206876573,0.0148150354975911,0.504706996482157,0.613805694632683,"age","sds",10,0,5
"(Intercept)",9.94804439151755,0.918242965933305,10.8337823000978,0.000000235902157475893,"income","sds",10,0,5
"age",-0.0631144539042459,0.0794768132547167,-0.794124113934578,0.427302484154954,"income","sds",10,0,5
"wealth",0.0258249327117335,0.0579890011240827,0.445341913313428,0.665555994267729,"income","sds",10,0,5
"(Intercept)",13.9032086188686,0.633750114369245,21.9379978064478,0.000000000087058485790978,"wealth","sds",10,0,5
"age",0.0361876981190768,0.0714561558377601,0.506432198805101,0.61258402826835,"wealth","sds",10,0,5
"income",0.0371313254387346,0.059787772213061,0.621052166091966,0.554838760721948,"wealth","sds",10,0,5
"(Intercept)",3.88352940275321,0.224644114640575,17.2874744970139,0.0000000000000000000000000000000000000000000000000000000000000000233462940423871,"age","sds",10,0,10
"income",0.00272181944091275,0.0131082678529509,0.20764142688006,0.835518830408905,"age","sds",10,0,10
"wealth",0.00112890029336959,0.0130623164966427,0.0864242030622776,0.931135720877066,"age","sds",10,0,10
"(Intercept)",9.34302731689154,0.77477651154233,12.05899659799,0.0000000000000290596156069528,"income","sds",10,0,10
"age",0.0154280441059757,0.0805417339272168,0.191553414033991,0.848099427379755,"income","sds",10,0,10
"wealth",0.0474373317773922,0.0501746075332351,0.94544499916557,0.353905685189473,"income","sds",10,0,10
"(Intercept)",13.9351922025328,0.65792118344792,21.1806407106451,0.00000000000000000000443919546144893,"wealth","sds",10,0,10
"age",0.00502142526005914,0.0835912092597561,0.0600712120870901,0.952102385239041,"wealth","sds",10,0,10
"income",0.0573836067472521,0.0560693248450665,1.0234403019087,0.318112728832394,"wealth","sds",10,0,10
"(Intercept)",3.9240014060106,0.251681248445922,15.5911552022269,0.00000000000000000000000000000000000000000000000000680404127985459,"age","sds",10,1,5
"income",-0.0107682361195156,0.0135280654232997,-0.795992315425181,0.426228657365349,"age","sds",10,1,5
"wealth",0.00747725206876573,0.0148150354975911,0.504706996482157,0.613805694632683,"age","sds",10,1,5
"(Intercept)",9.94804439151755,0.918242965933305,10.8337823000978,0.000000235902157475893,"income","sds",10,1,5
"age",-0.0631144539042459,0.0794768132547167,-0.794124113934578,0.427302484154954,"income","sds",10,1,5
"wealth",0.0258249327117335,0.0579890011240827,0.445341913313428,0.665555994267729,"income","sds",10,1,5
"(Intercept)",13.9032086188686,0.633750114369245,21.9379978064478,0.000000000087058485790978,"wealth","sds",10,1,5
"age",0.0361876981190768,0.0714561558377601,0.506432198805101,0.61258402826835,"wealth","sds",10,1,5
"income",0.0371313254387346,0.059787772213061,0.621052166091966,0.554838760721948,"wealth","sds",10,1,5
"(Intercept)",3.88352940275321,0.224644114640575,17.2874744970139,0.0000000000000000000000000000000000000000000000000000000000000000233462940423871,"age","sds",10,1,10
"income",0.00272181944091275,0.0131082678529509,0.20764142688006,0.835518830408905,"age","sds",10,1,10
"wealth",0.00112890029336959,0.0130623164966427,0.0864242030622776,0.931135720877066,"age","sds",10,1,10
"(Intercept)",9.34302731689154,0.77477651154233,12.05899659799,0.0000000000000290596156069528,"income","sds",10,1,10
"age",0.0154280441059757,0.0805417339272168,0.191553414033991,0.848099427379755,"income","sds",10,1,10
"wealth",0.0474373317773922,0.0501746075332351,0.94544499916557,0.353905685189473,"income","sds",10,1,10
"(Intercept)",13.9351922025328,0.65792118344792,21.1806407106451,0.00000000000000000000443919546144893,"wealth","sds",10,1,10
"age",0.00502142526005914,0.0835912092597561,0.0600712120870901,0.952102385239041,"wealth","sds",10,1,10
"income",0.0573836067472521,0.0560693248450665,1.0234403019087,0.318112728832394,"wealth","sds",10,1,10
"(Intercept)",3.98609007679797,0.149365228931332,26.6868675214263,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000260383684640286,"age","sds",10,2,5
"income",0.0029245302701148,0.0139597184908054,0.209497796967829,0.834083529168665,"age","sds",10,2,5
"wealth",-0.00606850631202008,0.0111387416994507,-0.544810758321056,0.586130017584006,"age","sds",10,2,5
"(Intercept)",3.78471430359403,0.438012023960676,8.64066303333677,0.0000000000000000056100383330527,"income","sds",10,2,5
"age",0.0162729176970646,0.0757923710769619,0.214703900482815,0.830024006376185,"income","sds",10,2,5
"wealth",0.44042348636115,0.0206724765496801,21.3048245720693,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000903661753316014,"income","sds",10,2,5
"(Intercept)",8.10873421549848,0.531435886191537,15.2581608171187,0.0000000000000000000000000000000000000000000000000117133238341183,"wealth","sds",10,2,5
"age",-0.0561872658775338,0.0999355591486384,-0.562234967775225,0.574271501493123,"wealth","sds",10,2,5
"income",0.724262800544133,0.0339690524030392,21.3212541801529,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000280796339816705,"wealth","sds",10,2,5
"(Intercept)",3.97287412857933,0.151597266921416,26.206766185559,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000145224348677451,"age","sds",10,2,10
"income",-0.00226522593063973,0.013525047954461,-0.167483763330583,0.867003021871922,"age","sds",10,2,10
"wealth",-0.00191244488929659,0.0110875009218834,-0.172486559664856,0.863131878967666,"age","sds",10,2,10
"(Intercept)",4.1991835846325,0.479360771200831,8.7599650136436,0.0000000000000000159394081926566,"income","sds",10,2,10
"age",-0.0171619603967278,0.0797371407440976,-0.215231700517155,0.829606979719535,"income","sds",10,2,10
"wealth",0.423390046093079,0.0223668513830244,18.929353928395,0.00000000000000000000000000000000000000000000000000000000000000345896266630044,"income","sds",10,2,10
"(Intercept)",8.35853528178317,0.557131698935007,15.0027996930727,0.00000000000000000000000000000000000000000000000431511999949081,"wealth","sds",10,2,10
"age",-0.0130108158943676,0.106372244560444,-0.122314011029206,0.902709619321475,"wealth","sds",10,2,10
"income",0.687793001128258,0.0359872227516917,19.112144492893,0.0000000000000000000000000000000000000000000000000000000000000000000785537648321459,"wealth","sds",10,2,10
"(Intercept)",3.93578311770963,0.264533906123741,14.8781801750154,0.000000000000000000000000000539408110102476,"age","sds",20,0,5
"income",-0.00560035679212354,0.014774073960511,-0.379066519302156,0.705282412804845,"age","sds",20,0,5
"wealth",0.00331375793320811,0.0148556952493885,0.223063133537591,0.823699525292825,"age","sds",20,0,5
"(Intercept)",9.77642574631006,0.75835284088545,12.8916583669617,0.0000000000792435138399295,"income","sds",20,0,5
"age",-0.0309709756365637,0.0827459382502202,-0.374289980771126,0.70875632935742,"income","sds",20,0,5
"wealth",0.0247372836716415,0.0444518714306159,0.556495888148454,0.584283864975547,"income","sds",20,0,5
"(Intercept)",14.128151794896,0.55739408158117,25.3467919049632,0.000000000000000000848785509900272,"wealth","sds",20,0,5
"age",0.0149832054960227,0.0795064028637884,0.188452815827829,0.850720710076263,"wealth","sds",20,0,5
"income",0.0254660655204503,0.044086077821073,0.577644162944284,0.57172196531319,"wealth","sds",20,0,5
"(Intercept)",3.97258646783948,0.245825079398504,16.1602163520492,0.0000000000000000000000000000000000000000000000000000000516308946903797,"age","sds",20,0,10
"income",-0.00308988979104917,0.0135170006310944,-0.228592856905045,0.81919360998307,"age","sds",20,0,10
"wealth",-0.00110306044813434,0.0140598429659348,-0.0784546776807479,0.937468192032572,"age","sds",20,0,10
"(Intercept)",9.85805554059474,0.642004164190724,15.3551271011167,0.000000000000000000000000000000000243585892443917,"income","sds",20,0,10
"age",-0.0161220641532325,0.0776731277398983,-0.207562958031251,0.835576674841571,"income","sds",20,0,10
"wealth",0.0174066829188107,0.0396069320120858,0.439485767630252,0.661283753054778,"income","sds",20,0,10
"(Intercept)",14.2687299993101,0.484239250788574,29.466281339387,0.00000000000000000000000000000000000000000000000000000000000000000000108815240224049,"wealth","sds",20,0,10
"age",-0.00650220242993351,0.0752222610111828,-0.0864398695615766,0.931119350964656,"wealth","sds",20,0,10
"income",0.0197664924479809,0.037899840520409,0.521545530972267,0.603525282700838,"wealth","sds",20,0,10
"(Intercept)",3.93578311770963,0.264533906123741,14.8781801750154,0.000000000000000000000000000539408110102476,"age","sds",20,1,5
"income",-0.00560035679212354,0.014774073960511,-0.379066519302156,0.705282412804845,"age","sds",20,1,5
"wealth",0.00331375793320811,0.0148556952493885,0.223063133537591,0.823699525292825,"age","sds",20,1,5
"(Intercept)",9.77642574631006,0.75835284088545,12.8916583669617,0.0000000000792435138399295,"income","sds",20,1,5
"age",-0.0309709756365637,0.0827459382502202,-0.374289980771126,0.70875632935742,"income","sds",20,1,5
"wealth",0.0247372836716415,0.0444518714306159,0.556495888148454,0.584283864975547,"income","sds",20,1,5
"(Intercept)",14.128151794896,0.55739408158117,25.3467919049632,0.000000000000000000848785509900272,"wealth","sds",20,1,5
"age",0.0149832054960227,0.0795064028637884,0.188452815827829,0.850720710076263,"wealth","sds",20,1,5
"income",0.0254660655204503,0.044086077821073,0.577644162944284,0.57172196531319,"wealth","sds",20,1,5
"(Intercept)",3.97258646783948,0.245825079398504,16.1602163520492,0.0000000000000000000000000000000000000000000000000000000516308946903797,"age","sds",20,1,10
"income",-0.00308988979104917,0.0135170006310944,-0.228592856905045,0.81919360998307,"age","sds",20,1,10
"wealth",-0.00110306044813434,0.0140598429659348,-0.0784546776807479,0.937468192032572,"age","sds",20,1,10
"(Intercept)",9.85805554059474,0.642004164190724,15.3551271011167,0.000000000000000000000000000000000243585892443917,"income","sds",20,1,10
"age",-0.0161220641532325,0.0776731277398983,-0.207562958031251,0.835576674841571,"income","sds",20,1,10
"wealth",0.0174066829188107,0.0396069320120858,0.439485767630252,0.661283753054778,"income","sds",20,1,10
"(Intercept)",14.2687299993101,0.484239250788574,29.466281339387,0.00000000000000000000000000000000000000000000000000000000000000000000108815240224049,"wealth","sds",20,1,10
"age",-0.00650220242993351,0.0752222610111828,-0.0864398695615766,0.931119350964656,"wealth","sds",20,1,10
"income",0.0197664924479809,0.037899840520409,0.521545530972267,0.603525282700838,"wealth","sds",20,1,10
"(Intercept)",3.96948358828831,0.154471195365003,25.6972413459269,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000311593107140609,"age","sds",20,2,5
"income",0.0104303487680518,0.0141722045936899,0.735972212304629,0.462733540012688,"age","sds",20,2,5
"wealth",-0.0100719500976098,0.0108675743047365,-0.926789163357282,0.35422475724714,"age","sds",20,2,5
"(Intercept)",4.20909273399027,0.49674958333299,8.47326877608826,0.0000000000000038359050161859,"income","sds",20,2,5
"age",0.0598199100491654,0.0833572148440927,0.717633262592203,0.473845826079488,"income","sds",20,2,5
"wealth",0.397318471602325,0.0236754638197906,16.7818664346589,0.000000000000000000000000000000000000000000000789287084986749,"income","sds",20,2,5
"(Intercept)",9.20413407038739,0.532025401273988,17.300177864341,0.000000000000000000000000000000000000000000000000000000000000150627677052934,"wealth","sds",20,2,5
"age",-0.0899280110627215,0.0983052176111495,-0.914783703734176,0.360474092066766,"wealth","sds",20,2,5
"income",0.609116880551744,0.0360155216523358,16.9126213534169,0.000000000000000000000000000000000000000000000000226827507085374,"wealth","sds",20,2,5
"(Intercept)",3.98894735310286,0.153002110710951,26.0711916624387,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306321743900076,"age","sds",20,2,10
"income",0.00363628076039779,0.0133724825034663,0.271922641099379,0.785707086060761,"age","sds",20,2,10
